age_group,count,pop%
20s,5211,0.19909070069534654
30s,4219,0.16119049438373959
50s,4055,0.1549247344693207
40s,3777,0.14430350729731795
<20,3447,0.13169557576220678
60s,2563,0.09792160158936349
70s,1282,0.04897990372125009
80s,1063,0.04061282188431268
90s,557,0.0212806601971422
