reporting_phu_city,count,pop%
Toronto,94899,0.31
Mississauga,61475,0.2
Newmarket,28941,0.1
Ottawa,14848,0.05
Windsor,13018,0.04
Whitby,11917,0.04
Waterloo,10813,0.04
Hamilton,10572,0.03
Oakville,9241,0.03
Thorold,8629,0.03
