age_group,count,pop%
20s,3531,0.2163470375589731
<20,2983,0.18277066356228172
30s,2676,0.16396054163347834
50s,2325,0.1424545064640647
40s,2232,0.13675632620550213
60s,1428,0.08749463880889652
70s,674,0.04129648918571166
80s,355,0.0217511181912873
90+,117,0.007168678389804547
