age_groups,count,male,female,pop%,m%_agegroup,f%_agegroup
<20,3019645,1548350,1471294,0.22,0.51,0.49
20s,1768740,894160,874580,0.13,0.51,0.49
30s,1707250,823700,883550,0.13,0.48,0.52
40s,1809260,871570,937690,0.13,0.48,0.52
50s,2045805,999450,1046355,0.15,0.49,0.51
60s,1583890,758980,824910,0.12,0.48,0.52
70s,921655,430265,491380,0.07,0.47,0.53
80s,479655,199870,279785,0.04,0.42,0.58
90s,112605,33045,79570,0.01,0.29,0.71
Total,13448505,6559390,6889114,1.00,0.49,0.51
