age_group,fatal-f,fatal-m,fatal-t,fatal-u,fatal-total,fatal%
80s,851.0,776.0,0.0,0.0,1627.0,0.36
90s,981.0,490.0,0.0,0.0,1471.0,0.33
70s,319.0,495.0,0.0,0.0,814.0,0.18
60s,136.0,249.0,0.0,0.0,385.0,0.09
50s,52.0,87.0,0.0,0.0,139.0,0.03
40s,11.0,25.0,0.0,0.0,36.0,0.01
30s,1.0,11.0,0.0,0.0,12.0,0.0
20s,2.0,5.0,0.0,0.0,7.0,0.0
<20,1.0,0.0,0.0,0.0,1.0,0.0
UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0
