reporting_phu_city,count,pop%
Toronto,1652,0.0
Barrie,1179,0.0
Windsor,1030,0.0
Mississauga,821,0.0
Newmarket,744,0.0
Ottawa,671,0.0
Sudbury,581,0.0
Waterloo,493,0.0
Kingston,485,0.0
Sault Ste. Marie,471,0.0
