reporting_phu_city,count,pop%
Toronto,131279,0.31
Mississauga,83470,0.2
Newmarket,42062,0.1
Ottawa,22195,0.05
Whitby,18390,0.04
Hamilton,15549,0.04
Windsor,14879,0.04
Waterloo,13330,0.03
Oakville,13137,0.03
Thorold,12137,0.03
