age_group,count,pop%
<20,2204,0.2779669567410771
30s,1261,0.15903644848026233
20s,1196,0.15083869340396014
40s,1142,0.14402825072518602
50s,837,0.10556186152099886
60s,666,0.08399545970488081
70s,340,0.04288056501450372
80s,213,0.02686341278849792
90+,70,0.00882835162063312
