age_group,fatal-f,fatal-m,fatal-gd,fatal-u,fatal-total,fatal%
80s,1590,1553,0,19,3162,0.34
90+,1606,846,0,18,2470,0.27
70s,736,1157,0,6,1899,0.2
60s,355,708,0,7,1070,0.12
50s,158,296,0,3,457,0.05
40s,45,94,0,2,141,0.02
30s,15,39,0,4,58,0.01
20s,7,17,0,2,26,0.0
<20,2,2,0,0,4,0.0
UNKNOWN,0,0,0,1,1,0.0
